"","Station","Lat","Lon","Soil_Loss","pch"
"1","McNary",45.966667175293,-119.25,8.8,19
"2","Triple‐S",46.2000007629395,-119.5,0,1
"3","Station4",46.0499992370605,-119.400001525879,0,1
"4","Wheelhouse",46.0166664123535,-119.516670227051,0,1
"5","K2H",46.283332824707,-118.633331298828,0,1
"6","Touchet",46.0166664123535,-118.666664123535,0,1
"7","PK_McClenny",46.3499984741211,-118.800003051758,0,1
"8","Ringold",46.466667175293,-119.166664123535,0,1
"9","SmithCanyonEast",46.2666664123535,-118.983329772949,0,1
"10","PatersonWest",45.9333343505859,-119.650001525879,7.2,19
"11","BadgerCanyon",46.1666679382324,-119.266670227051,0,1
"12","Lind",47,-118.566665649414,8.7,19
"13","Pullman",46.7000007629395,-117.150001525879,8.1,19
"14","Ritzville",47.1333351135254,-118.466667175293,0,1
"15","Anatone",46.2000007629395,-117.099998474121,0,1
"16","St.John",47.0666656494141,-117.583335876465,4.6,19
"17","ConnellBench",46.7000007629395,-118.900001525879,2.3,19
"18","McClure",46.3666648864746,-119.716667175293,0,1
"19","Hatton",46.783332824707,-118.849998474121,0,1
"20","KonnowacPass",46.466667175293,-120.366668701172,0,1
"21","Wheeler",47.1333351135254,-119.066665649414,0,1
"22","Mae",47.0666656494141,-119.483329772949,0,1
"23","DesertAire",46.7000007629395,-119.916664123535,0,1
"24","WardenGolf",46.9166679382324,-119.116668701172,0,1
"25","Broadview",46.966667175293,-120.5,0,1
"26","MosesLake",47,-119.233329772949,0,1
"27","Almira",47.8666648864746,-118.883331298828,1.5,19
