,,,,Soil Loss (kg/m2),,
,Station,Latitude,Longitude,WEPS,RWEQ,Difference
1,McNary,45.97,-119.25,8.8,0.4,-8.4
13,Pullman,46.70,-117.15,8.1,0.8,-7.3
10,PatersonWest,45.93,-119.65,7.2,0.9,-6.3
12,Lind,47.00,-118.57,8.7,4.9,-3.8
16,St.John,47.07,-117.58,4.6,1.5,-3.1
17,ConnellBench,46.70,-118.90,2.3,1.8,-0.5
18,McClure,46.37,-119.72,0.0,0.0,0.0
2,Triple‐S,46.20,-119.50,0.0,0.1,0.1
11,BadgerCanyon,46.17,-119.27,0.0,0.1,0.1
20,KonnowacPass,46.47,-120.37,0.0,0.2,0.2
14,Ritzville,47.13,-118.47,0.0,0.6,0.6
22,Mae,47.07,-119.48,0.0,0.6,0.6
9,SmithCanyonEast,46.27,-118.98,0.0,1.0,1.0
21,Wheeler,47.13,-119.07,0.0,1.6,1.6
8,Ringold,46.47,-119.17,0.0,2.0,2.0
4,Wheelhouse,46.02,-119.52,0.0,2.1,2.1
3,Station4,46.05,-119.40,0.0,2.3,2.3
19,Hatton,46.78,-118.85,0.0,2.3,2.3
27,Almira,47.87,-118.88,1.5,3.8,2.3
24,WardenGolf,46.92,-119.12,0.0,2.6,2.6
6,Touchet,46.02,-118.67,0.0,3.1,3.1
5,K2H,46.28,-118.63,0.0,3.8,3.8
7,PK_McClenny,46.35,-118.80,0.0,3.8,3.8
15,Anatone,46.20,-117.10,0.0,4.5,4.5
25,Broadview,46.97,-120.50,0.0,5.0,5.0
23,DesertAire,46.70,-119.92,0.0,NA,NA
26,MosesLake,47.00,-119.23,0.0,NA,NA
